"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60404","Test de recherche d'un travail programmé","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.TravauxTest","Surefire test","com.ansut.TravauxTest","testSearchTravaux"
"","60472","Test de suppression d'un maintenancier","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.MaintenancierTest","Surefire test","com.ansut.MaintenancierTest","testDeleteMaintenancier"
"","78968","Test de création d'un travail programmé","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.TravauxTest","Surefire test","com.ansut.TravauxTest","testCreateTravaux"
"","2727","Test de création d'un prestataire","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.OperateurTest","Surefire test","com.ansut.OperateurTest","testCreateOperateur"
"Test de modification d'un actif existant","1949","Test de modification d'un actif","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ActifsTest","Surefire test","com.ansut.ActifsTest","testModifyActifs"
"","1332","Test de modification d'une section","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.SectionTest","Surefire test","com.ansut.SectionTest","testModifySection"
"","1420","Test de suppression d'un diagnostic","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.DiagnosticTest","Surefire test","com.ansut.DiagnosticTest","testDeleteDiagnostic"
"","60228","Test de recherche d'un maintenancier","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.MaintenancierTest","Surefire test","com.ansut.MaintenancierTest","testSearchMaintenancier"
"Test de connexion réussie avec des identifiants valides","4821","Test de connexion réussie avec des identifiants valides","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.LoginAnsutTest","Surefire test","com.ansut.LoginAnsutTest","testLoginSuccess"
"Test de suppression d'un actif","15883","Test de suppression d'un actif","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ActifsTest","Surefire test","com.ansut.ActifsTest","testDeleteActifs"
"","896","Test de recherche d'une section","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.SectionTest","Surefire test","com.ansut.SectionTest","testSearchSection"
"","1733","Test de modification d'un diagnostic","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.DiagnosticTest","Surefire test","com.ansut.DiagnosticTest","testModifyDiagnostic"
"Test de création d'un nouvel actif dans l'application","11901","Test de création d'un actif","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ActifsTest","Surefire test","com.ansut.ActifsTest","testCreateActifs"
"","0","Test de modification d'une méthode","Surefire suite","2025-09-22","skipped","2025-09-22","com.ansut.MethodsTest","Surefire test","com.ansut.MethodsTest","testModifyMethod"
"","866","Test de recherche d'un prestataire","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.OperateurTest","Surefire test","com.ansut.OperateurTest","testSearchOperateur"
"Test de création d'une nouvelle raison de clôture dans l'application","2927","Test de création d'une raison de clôture","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ClotureTest","Surefire test","com.ansut.ClotureTest","testCreateCloture"
"","1067","Test de suppression d'une section","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.SectionTest","Surefire test","com.ansut.SectionTest","testDeleteSection"
"Test de recherche et filtrage des raisons de clôture","762","Test de recherche d'une raison de clôture","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ClotureTest","Surefire test","com.ansut.ClotureTest","testSearchCloture"
"","63402","Test de création d'un maintenancier","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.MaintenancierTest","Surefire test","com.ansut.MaintenancierTest","testCreateMaintenancier"
"","1363","Test de modification d'un prestataire","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.OperateurTest","Surefire test","com.ansut.OperateurTest","testModifyOperateur"
"","60356","Test de modification d'un maintenancier","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.MaintenancierTest","Surefire test","com.ansut.MaintenancierTest","testModifyMaintenancier"
"","2938","Test de création d'une section","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.SectionTest","Surefire test","com.ansut.SectionTest","testCreateSection"
"Test de modification d'une raison de clôture existante","1181","Test de modification d'une raison de clôture","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ClotureTest","Surefire test","com.ansut.ClotureTest","testModifyCloture"
"","5387","Test de suppression d'un prestataire","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.OperateurTest","Surefire test","com.ansut.OperateurTest","testDeleteOperateur"
"","0","Test de recherche d'une méthode","Surefire suite","2025-09-22","skipped","2025-09-22","com.ansut.MethodsTest","Surefire test","com.ansut.MethodsTest","testSearchMethod"
"","1","setUp","Surefire suite","2025-09-22","failed","2025-09-22","com.ansut.MethodsTest","Surefire test","com.ansut.MethodsTest","setUp"
"","1","Test de création d'une méthode","Surefire suite","2025-09-22","skipped","2025-09-22","com.ansut.MethodsTest","Surefire test","com.ansut.MethodsTest","testCreateMethod"
"Test de suppression d'une raison de clôture","1954","Test de suppression d'une raison de clôture","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ClotureTest","Surefire test","com.ansut.ClotureTest","testDeleteCloture"
"","817","Test de recherche d'un diagnostic","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.DiagnosticTest","Surefire test","com.ansut.DiagnosticTest","testSearchDiagnostic"
"","1","Test de suppression d'une méthode","Surefire suite","2025-09-22","skipped","2025-09-22","com.ansut.MethodsTest","Surefire test","com.ansut.MethodsTest","testDeleteMethod"
"Test de recherche et filtrage des actifs","727","Test de recherche d'un actif","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.ActifsTest","Surefire test","com.ansut.ActifsTest","testSearchActifs"
"","3110","Test de création d'un diagnostic","Surefire suite","2025-09-22","passed","2025-09-22","com.ansut.DiagnosticTest","Surefire test","com.ansut.DiagnosticTest","testCreateDiagnostic"
